视频链接,发布日期,视频标题,观看次数,点赞次数,评论总数,作者名称,粉丝数量,时间,时长,语种,内容一级标签,内容二级标签,细化内容/创意/亮点,内容产出方向1,Unnamed: 15,细化内容1,内容产出方向2,细化内容2,内容产出方向3,细化内容3,前排评论（前10个即可）,时间1
https://www.youtube.com/watch?v=_KlANrBkt0Q&t=92s,2022-05-24,HOW I OUTSMARTED A TEAM OF TARKOV GAMERS - Escape From Tarkov Gameplay,431220.0,14000.0,537.0,OperatorDrewski,1550000.0,2022-05-24,32分钟,英语,技术实况向,高手实况,实战对局思路演练，记录高光，展现游戏精彩的画面,技术实况向,高手实况,实战对局思路演练，高光highlight,攻略,游戏玩法，攻略地图完美,直播片段,通过游戏直播的片段来整体展示游戏的玩法，画面,整体在讨论游戏内容,2022-05
https://www.youtube.com/watch?v=AJ7eIswZHlA&t=34s,2022-03-08,The Most Useful Tarkov Tips I've Learned After 4000 Hours,430020.0,16000.0,714.0,SwampFoxTV,38300.0,2022-03-08,6分钟,英语,教程攻略向,通用技巧,4000小时老玩家的心得分享，实用技巧总结（有用度排序、调整游戏设定、修改电脑配置 - 达到游戏顺畅体验）,教程攻略向,通用技巧,4000小时老玩家心得分享,攻略,Tarkov技巧，评论玩家总结最有用的技巧,教学视频,游戏技巧高强度教学，如何通过改变一些游戏设定或者修改电脑配置来提高游戏体验,玩家在视频底下分享一些自己的游戏技巧,2022-03
https://www.youtube.com/watch?v=mgqBcYDPoPY,2022-01-15,I looted shturman's stash 25 times!. | Escape From Tarkov 12.12,178688.0,2200.0,303.0,TarkovTV,635.0,2022-01-15,11分钟,英语,娱乐整活向,内容玩法,寻宝视频，通过搜索25次森林地图宝箱，使得玩家得以“血赚”,娱乐整活向,内容玩法,概率开箱（搜索25次森林地图宝箱，都会得到什么）,搞笑,寻宝视频，对话很搞笑,实战录屏,寻宝教学视频，教学寻找游戏隐藏物品、获取更好的装备，实现“血赚”的效果,视频底下的前排评论较为欢快,2022-01
https://www.youtube.com/watch?v=jfZhmZeW-FU,2022-06-12,Subsonic Users | Tarkov Geographic,332847.0,11000.0,400.0,Leviticus,75400.0,2022-06-12,10分钟,英语,教程攻略向,枪械教程,亚音速弹药的使用技巧,教程攻略向,枪械教程,亚音速弹使用攻略,攻略,亚音速弹药,教学视频,游戏实战录屏，展示亚音速弹药的实战效果,交流讨论枪械的强弱,2022-06
https://www.youtube.com/watch?v=amzASW3EmME&t=219s,2022-02-13,THE GREATEST SOLO EXTRACTION - Escape From Tarkov,1155114.0,43000.0,0.0,Welyn,2810000.0,2022-02-13,34分钟,英语,技术实况向,高手实况,独狼技术主播Loot通过直播来展现游戏实战，使得玩家能更好的了解塔科夫这款游戏的玩法、根据EFT本身改编故事、主播碎碎念,技术实况向,高手实况,独狼技术主播Loot和撤离实况,影视,根据逃离塔科夫编的故事，故事内容精彩有趣,游戏展示,游戏画面展示细节，为塔科夫新增不同的魅力来吸引玩家去了解塔科夫,称赞视频作者的内容，认为VOIP让游戏变得更有意思了,2022-02
https://www.youtube.com/watch?v=XOOGtwjFX60,2022-03-30,Escape from Tarkov but I just use CURSED GUNS,495175.0,13000.0,303.0,fourzer0seven,2009999.0,2022-03-30,12分钟,英语,娱乐整活向,内容玩法,Chad cannon 诅咒之枪的实战效果,娱乐整活向,内容玩法,BD搭配（Chad Cannon这把诅咒之枪实战体验）,资讯,诅咒的枪，来自激光的恐吓,游戏展示,诅咒枪的演示视频，该视频之所以火，可能也和大主播有关,玩家在视频底下分享一些自己的游戏技巧,2022-03
https://www.youtube.com/watch?v=Slb2NJvyv24&t=207s,2022-02-08,VOIP changed Tarkov,1350058.0,67000.0,0.0,General Sam,1330000.0,2022-02-08,22分钟,英语,娱乐整活向,内容玩法,社交联机（VOIP语音功能如何改变EFT体验（朋友联机组队，大主播享有粉丝效应）,娱乐整活向,内容玩法,社交联机（VOIP语音功能如何改变EFT体验-朋友联机组队）,资讯,VOIP语音给EFT游戏带来的乐趣,游戏解说,voip的出现改变了塔科夫的固有玩法，使得塔科夫玩法多样化，尤其是对于一些大主播来说，在游玩的时候，有不少的粉丝效应,称赞视频作者Sam的游戏水平,2022-02
https://www.youtube.com/watch?v=E58A2olVpwg&t=85s,2021-12-26,The Story of Escape from Tarkov (Full Film) | EUL Gaming,522931.0,21000.0,912.0,EUL Gaming,38300.0,2021-12-26,28分钟,英语,二创同人向,故事剧情,塔科夫故事背景解说类视频，通过背景的解说，来梳理塔科夫的故事性，其视频制作精良,二创同人向,故事剧情,塔科夫剧情解说,影视,塔科夫的传说，根据逃离塔科夫编的故事，视频制作精良,背景故事,塔科夫故事背景解说类视频，描述了塔科夫的故事背景线,讨论游戏剧情，认为俄罗斯游戏的背景故事架构普遍都很带感,2021-12
https://www.youtube.com/watch?v=NIOtlOh9iq4,2021-12-30,STEALTHY KILLS WITH THE SLEEPER SNIPER - Escape From Tarkov VPO-209 Gameplay,722829.0,19000.0,645.0,OperatorDrewski,1550000.0,2021-12-30,33分钟,英语,技术实况向,高手实况,使用SLEEPER SNIPER潜行杀敌，炫技类视频,技术实况向,高手实况,使用SLEEPER SNIPER潜行杀敌（这个好像是技术主播）,攻略,精彩的战术阵容,,,视频底下的前排评论较为欢快,2021-12
https://www.youtube.com/watch?v=1wsxMV2ToAU&t=759s,2022-03-08,LONG-DISTANCE PMC SNIPER KILLS - Escape From Tarkov M700/SR25 Gameplay,338228.0,10000.0,316.0,OperatorDrewski,1550000.0,2022-03-08,32分钟,英语,技术实况向,高手实况,PMC狙击枪远距离杀敌，炫技类视频,技术实况向,高手实况,PMC狙击枪远距离杀敌,,,,,称赞视频作者的内容,2022-03
